start_idx,init,p_ls,p_ref,l2_ls,l1_before,l1_after,l1_final
1,"[0.0, -0.05, 50.713931456]","[29.58281181676853, -0.049999999999999996, 55.01360890816863]","[28.105896440659937, 0.021319481937993927, 54.89845481809925]",385843.4461816584,38102.19192444626,37865.10764203351,37865.10764203351
2,"[0.0, -0.030000000000000002, 50.713931456]","[29.582811672163864, -0.049999999999999996, 55.01360886650957]","[28.10623495223392, 0.021321363086375843, 54.89844303028097]",385843.4461816588,38102.19191419161,37865.107275677874,37865.107275677874
3,"[0.0, -0.010000000000000002, 50.713931456]","[29.58281086978769, -0.049999999999999996, 55.013608641766616]","[28.1058964207754, 0.02131948182817293, 54.898363878829336]",385843.4461816609,38102.19185714991,37865.10764205508,37865.10764205508
4,"[0.0, 0.009999999999999995, 50.713931456]","[29.58280863012679, -0.049999999999999996, 55.013608003779105]","[28.10568745785985, 0.02131832454782713, 54.8983388880226]",385843.4461816682,38102.1916981649,37865.10786838425,37865.10786838425
5,"[0.0, 0.03, 50.713931456]","[29.58281500118638, -0.049999999999999996, 55.013609807089914]","[28.102142964432385, 0.021298613749795577, 54.8978712222324]",385843.44618165225,38102.192150676085,37865.1116796696,37865.1116796696
6,"[0.0, 0.05, 50.713931456]","[29.582810286941314, -0.049999999999999996, 55.0136084734899]","[28.104187885170795, 0.021309986624214676, 54.898180060876385]",385843.4461816626,38102.19181582531,37865.109485666515,37865.109485666515
7,"[10.0, -0.05, 51.214536492789016]","[29.582815759941795, -0.049999999999999996, 55.013610029331176]","[28.10408149803076, 0.021309393722770575, 54.898477597005204]",385843.44618165144,38102.192204402956,37865.109600018055,37865.109600018055
8,"[10.0, -0.030000000000000002, 51.21313956616154]","[29.582815598484554, -0.049999999999999996, 55.013609983432836]","[28.10425621788438, 0.02131037009116468, 54.89815951544197]",385843.4461816516,38102.192192939656,37865.109412437174,37865.109412437174
9,"[10.0, -0.010000000000000002, 51.20961196331897]","[29.58281504784447, -0.049999999999999996, 55.01360982152149]","[28.10414853671946, 0.021309765593606117, 54.89858386523212]",385843.44618165225,38102.19215396307,37865.10952780866,37865.10952780866
10,"[10.0, 0.009999999999999995, 51.19894417083043]","[29.58281387178673, -0.049999999999999996, 55.01360949257471]","[28.104148533585466, 0.02130976557368242, 54.89834072718966]",385843.446181654,38102.19207034582,37865.10952781181,37865.10952781181
